"date","clock_in","clock_out","code","notes","tags"
2020-11-09,"13:22:00","15:28:00","MSFT","check last month's payments","done"
2020-11-09,"15:28:00","16:43:00","JPM","prep for mtg","fixed"
2020-11-09,"16:43:00","16:51:00","META","emails",""
2020-11-09,"16:51:00","17:36:00","TSLA","setup books","fixed"
2020-11-09,"17:36:00","18:01:00","NVDA","setup books","redo"
2020-11-09,"18:01:00","18:15:00","NVO","",""
2020-11-09,"18:15:00","18:21:00","NVO","emails",""
2020-11-10,"07:45:00","09:20:00","META","phone call","redo"
2020-11-10,"09:20:00","10:10:00","TSLA","prep for mtg","done"
2020-11-10,"10:10:00","12:17:00","XOM","planning session","redo"
2020-11-10,"12:17:00","12:39:00","BIZ","",""
2020-11-10,"12:39:00","14:24:00","TSLA","crosscheck w bank statements","asap"
2020-11-10,"14:24:00","14:41:00","MA","",""
2020-11-10,"14:41:00","15:07:00","WMT","setup books",""
2020-11-10,"15:07:00","15:56:00","UNH","prep for mtg",""
2020-11-10,"15:56:00","16:03:00","NVO","emails","done"
2020-11-10,"16:03:00","16:58:00","NVO","prep for mtg",""
2020-11-10,"16:58:00","17:10:00","TSLA","emails",""
2020-11-10,"17:10:00","17:41:00","BIZ","setup books",""
2020-11-10,"17:41:00","18:00:00","BIZ","",""
2020-11-10,"18:00:00","18:08:00","TSLA","emails","redo"
2020-11-10,"18:08:00","18:30:00","HD","",""
2020-11-13,"06:10:00","08:59:00","CVX","planning session",""
2020-11-13,"08:59:00","09:07:00","TSLA","emails","redo"
2020-11-13,"09:07:00","10:23:00","HD","crosscheck w bank statements","asap"
2020-11-13,"10:23:00","10:39:00","TSLA","",""
2020-11-13,"10:39:00","11:39:00","GOOG","setup books","fixed"
2020-11-13,"11:39:00","11:48:00","TSM","",""
2020-11-13,"11:48:00","11:55:00","PFE","emails","redo"
2020-11-13,"11:55:00","12:40:00","UNH","setup books",""
2020-11-13,"12:40:00","14:04:00","CVX","price quotes","redo"
2020-11-13,"14:04:00","14:17:00","CVX","emails",""
2020-11-13,"14:17:00","14:24:00","AAPL","emails",""
2020-11-14,"08:15:00","08:23:00","TSLA","emails","asap"
2020-11-14,"08:23:00","08:29:00","MSFT","emails","redo"
2020-11-14,"08:29:00","08:48:00","META","",""
2020-11-14,"08:48:00","10:32:00","NVDA","check last month's payments",""
2020-11-14,"10:32:00","10:37:00","AAPL","emails",""
2020-11-14,"10:37:00","10:48:00","MSFT","emails","asap"
2020-11-14,"10:48:00","11:22:00","MSFT","prep for mtg",""
2020-11-17,"07:53:00","08:40:00","MA","phone call","fixed"
2020-11-17,"08:40:00","08:53:00","AMZN","emails","asap"
2020-11-17,"08:53:00","08:59:00","CVX","emails","redo"
2020-11-17,"08:59:00","10:05:00","AMZN","balance sheets",""
2020-11-17,"10:05:00","11:11:00","TSLA","balance sheets","done"
2020-11-18,"08:38:00","09:02:00","WMT","setup books","done"
2020-11-18,"09:02:00","09:41:00","PG","prep for mtg",""
2020-11-18,"09:41:00","09:52:00","BRK/B","emails",""
2020-11-18,"09:52:00","10:18:00","TSLA","setup books",""
2020-11-18,"10:18:00","11:28:00","WMT","phone call","asap"
2020-11-18,"11:28:00","11:49:00","TSLA","setup books",""
2020-11-18,"11:49:00","11:56:00","MSFT","emails",""
2020-11-20,"08:19:00","09:24:00","NVDA","phone call","done"
2020-11-20,"09:24:00","11:27:00","TSLA","price quotes",""
2020-11-20,"11:27:00","12:54:00","NVDA","price quotes",""
2020-11-20,"12:54:00","13:48:00","JNJ","phone call",""
2020-11-20,"13:48:00","14:03:00","CVX","emails",""
2020-11-20,"14:03:00","14:48:00","WMT","setup books",""
2020-11-20,"14:48:00","15:01:00","TSLA","emails",""
2020-11-20,"15:01:00","15:46:00","MSFT","setup books","fixed"
2020-11-20,"15:46:00","17:07:00","AAPL","check last month's payments","redo"
2020-11-20,"17:07:00","17:18:00","AMZN","emails","redo"
2020-11-20,"17:18:00","17:26:00","CVX","emails",""
2020-11-21,"08:00:00","08:30:00","HD","",""
2020-11-21,"08:30:00","10:25:00","BIZ","crosscheck w bank statements",""
2020-11-21,"10:25:00","10:45:00","NVO","",""
2020-11-21,"10:45:00","11:46:00","BRK/A","prep for mtg",""
2020-11-21,"11:46:00","12:11:00","BIZ","setup books","done"
2020-11-21,"12:11:00","12:14:00","BIZ","",""
2020-11-21,"12:14:00","13:19:00","PG","phone call","redo"
2020-11-21,"13:19:00","13:41:00","TSLA","",""
2020-11-21,"13:41:00","13:59:00","TSLA","",""
2020-11-21,"13:59:00","15:10:00","AMZN","check last month's payments","fixed"
2020-11-21,"15:10:00","15:13:00","NVO","",""
2020-11-21,"15:13:00","15:50:00","NVO","setup books",""
2020-11-21,"15:50:00","18:23:00","PFE","balance sheets","done"
2020-11-23,"06:47:00","06:52:00","JNJ","emails","fixed"
2020-11-23,"06:52:00","06:58:00","AMZN","emails","fixed"
2020-11-23,"06:58:00","07:44:00","META","prep for mtg",""
2020-11-23,"07:44:00","07:53:00","AMZN","",""
2020-11-24,"06:30:00","07:25:00","BIZ","prep for mtg","fixed"
2020-11-26,"08:59:00","09:08:00","PG","",""
2020-11-26,"09:08:00","10:44:00","UNH","check last month's payments",""
2020-11-26,"10:44:00","13:43:00","WMT","discuss issues",""
2020-11-26,"13:43:00","13:55:00","AAPL","emails",""
2020-11-26,"13:55:00","14:07:00","MSFT","emails",""
2020-11-26,"14:07:00","14:33:00","WMT","setup books",""
2020-11-26,"14:33:00","14:39:00","BIZ","emails","fixed"
2020-11-26,"14:39:00","14:50:00","JNJ","emails",""
2020-11-26,"14:50:00","15:04:00","JPM","",""
2020-11-26,"15:04:00","15:14:00","UNH","emails",""
2020-11-26,"15:14:00","15:49:00","PG","prep for mtg",""
2020-11-27,"13:53:00","13:56:00","WMT","setup books","done"
2020-11-30,"07:44:00","08:14:00","BRK/A","",""
2020-11-30,"08:14:00","08:32:00","HD","",""
2020-11-30,"08:32:00","08:40:00","UNH","emails",""
2020-11-30,"08:40:00","08:52:00","BRK/A","emails",""
2020-11-30,"08:52:00","09:03:00","GOOG","emails","redo"
2020-11-30,"09:03:00","10:48:00","BIZ","crosscheck w bank statements",""
2020-11-30,"10:48:00","11:18:00","AMZN","",""
2020-11-30,"11:18:00","11:45:00","BIZ","",""
2020-11-30,"11:45:00","12:20:00","CVX","prep for mtg",""
2020-11-30,"12:20:00","12:46:00","AAPL","setup books","done"
2020-11-30,"12:46:00","12:57:00","HD","emails",""
2020-11-30,"12:57:00","14:17:00","PFE","crosscheck w bank statements","done"
2020-11-30,"14:17:00","14:53:00","TSLA","setup books",""
2020-12-01,"07:28:00","07:37:00","XOM","",""
2020-12-01,"07:37:00","08:47:00","XOM","phone call",""
2020-12-01,"08:47:00","08:58:00","AMZN","emails",""
2020-12-01,"08:58:00","09:43:00","TSLA","setup books",""
2020-12-01,"09:43:00","09:46:00","JNJ","",""
2020-12-01,"09:46:00","09:56:00","UNH","emails",""
2020-12-01,"09:56:00","10:18:00","UNH","",""
2020-12-01,"10:18:00","10:34:00","BIZ","",""
2020-12-01,"10:34:00","10:42:00","PG","emails",""
2020-12-01,"10:42:00","11:12:00","NVDA","",""
2020-12-02,"08:26:00","09:20:00","GOOG","phone call","done"
2020-12-02,"09:20:00","10:16:00","BIZ","prep for mtg",""
2020-12-02,"10:16:00","11:13:00","GOOG","phone call","fixed"
2020-12-02,"11:13:00","12:55:00","BRK/B","price quotes","done"
2020-12-02,"12:55:00","13:14:00","NVO","",""
2020-12-02,"13:14:00","13:17:00","XOM","",""
2020-12-02,"13:17:00","13:52:00","MA","prep for mtg",""
2020-12-02,"13:52:00","14:09:00","JNJ","",""
2020-12-02,"14:09:00","14:19:00","TSM","emails",""
2020-12-02,"14:19:00","14:38:00","TSLA","",""
2020-12-03,"13:34:00","13:47:00","AMZN","",""
2020-12-03,"13:47:00","13:52:00","TSLA","prep for mtg","fixed"
2020-12-03,"13:52:00","14:04:00","META","setup books","redo"
2020-12-03,"14:04:00","14:26:00","HD","setup books",""
2020-12-04,"07:14:00","07:22:00","HD","emails",""
2020-12-04,"07:22:00","07:42:00","TSLA","",""
2020-12-04,"07:42:00","07:51:00","BIZ","",""
2020-12-04,"07:51:00","08:09:00","HD","",""
2020-12-04,"08:09:00","09:39:00","MSFT","balance sheets",""
2020-12-04,"09:39:00","09:48:00","HD","",""
2020-12-04,"09:48:00","11:09:00","AAPL","check last month's payments","done"
2020-12-04,"11:09:00","11:18:00","TSLA","",""
2020-12-04,"11:18:00","12:21:00","MSFT","prep for mtg","redo"
2020-12-04,"12:21:00","12:58:00","PG","setup books","redo"
2020-12-04,"12:58:00","13:16:00","BIZ","",""
2020-12-04,"13:16:00","13:37:00","UNH","",""
2020-12-04,"13:37:00","13:57:00","BIZ","",""
2020-12-04,"13:57:00","14:07:00","NVO","emails",""
2020-12-04,"14:07:00","15:50:00","BIZ","balance sheets","redo"
2020-12-06,"08:58:00","09:45:00","BIZ","phone call",""
2020-12-06,"09:45:00","11:19:00","BIZ","check last month's payments",""
2020-12-06,"11:19:00","11:25:00","AAPL","emails",""
2020-12-06,"11:25:00","11:37:00","JNJ","emails","done"
2020-12-06,"11:37:00","12:01:00","GOOG","setup books","redo"
2020-12-06,"12:01:00","13:06:00","UNH","phone call","done"
2020-12-06,"13:06:00","13:10:00","PFE","",""
2020-12-06,"13:10:00","13:39:00","WMT","setup books","redo"
2020-12-06,"13:39:00","13:52:00","TSLA","emails","done"
2020-12-06,"13:52:00","14:37:00","TSLA","setup books","fixed"
2020-12-06,"14:37:00","14:44:00","PG","emails","done"
2020-12-06,"14:44:00","15:05:00","TSLA","setup books",""
2020-12-06,"15:05:00","15:50:00","WMT","setup books",""
2020-12-07,"06:19:00","06:34:00","BIZ","emails","redo"
2020-12-07,"06:34:00","07:15:00","TSM","setup books","redo"
2020-12-07,"07:15:00","07:26:00","AMZN","emails","redo"
2020-12-07,"07:26:00","08:56:00","WMT","balance sheets",""
2020-12-07,"08:56:00","09:23:00","BIZ","",""
2020-12-07,"09:23:00","10:17:00","BIZ","phone call","redo"
2020-12-08,"06:55:00","07:24:00","WMT","setup books",""
2020-12-08,"07:24:00","07:37:00","TSLA","emails",""
2020-12-08,"07:37:00","07:55:00","PG","",""
2020-12-08,"07:55:00","08:02:00","NVDA","emails",""
2020-12-08,"08:02:00","08:42:00","UNH","setup books",""
2020-12-08,"08:42:00","08:45:00","UNH","",""
2020-12-08,"08:45:00","09:11:00","WMT","setup books",""
2020-12-08,"09:11:00","09:42:00","PFE","setup books","asap"
2020-12-08,"09:42:00","10:19:00","AAPL","setup books","asap"
2020-12-08,"10:19:00","10:39:00","MSFT","",""
2020-12-09,"06:19:00","07:20:00","TSM","prep for mtg","done"
2020-12-09,"07:20:00","08:00:00","XOM","setup books",""
2020-12-09,"08:00:00","08:08:00","NVDA","emails","done"
2020-12-09,"08:08:00","09:28:00","NVO","crosscheck w bank statements","fixed"
2020-12-09,"09:28:00","09:55:00","TSM","",""
2020-12-09,"09:55:00","10:04:00","GOOG","",""
2020-12-09,"10:04:00","10:11:00","BIZ","emails","done"
2020-12-09,"10:11:00","10:24:00","BIZ","emails",""
2020-12-09,"10:24:00","10:37:00","CVX","emails",""
2020-12-10,"06:01:00","06:24:00","XOM","prep for mtg",""
2020-12-10,"06:24:00","07:39:00","BIZ","prep for mtg",""
2020-12-10,"07:39:00","07:42:00","MSFT","",""
2020-12-10,"07:42:00","08:05:00","XOM","prep for mtg","fixed"
2020-12-10,"08:05:00","08:25:00","GOOG","",""
2020-12-10,"08:25:00","08:40:00","XOM","emails",""
2020-12-10,"08:40:00","08:53:00","WMT","emails",""
2020-12-10,"08:53:00","09:40:00","MA","phone call",""
2020-12-11,"06:15:00","07:11:00","HD","prep for mtg",""
2020-12-11,"07:11:00","07:16:00","NVDA","emails","redo"
2020-12-11,"07:16:00","08:10:00","BIZ","phone call","redo"
2020-12-11,"08:10:00","08:33:00","NVO","prep for mtg","asap"
2020-12-11,"08:33:00","08:41:00","BIZ","emails","asap"
2020-12-11,"08:41:00","08:58:00","AMZN","",""
2020-12-11,"08:58:00","09:27:00","TSLA","setup books",""
2020-12-11,"09:27:00","09:33:00","PFE","emails",""
2020-12-13,"07:30:00","08:37:00","BIZ","balance sheets",""
2020-12-13,"08:37:00","09:18:00","TSM","setup books","asap"
2020-12-13,"09:18:00","09:31:00","NVDA","emails",""
2020-12-14,"07:59:00","08:25:00","HD","setup books",""
2020-12-14,"08:25:00","11:22:00","PFE","price quotes",""
2020-12-14,"11:22:00","12:22:00","TSM","setup books",""
2020-12-14,"12:22:00","12:28:00","BIZ","emails","done"
2020-12-14,"12:28:00","13:30:00","TSM","phone call","done"
2020-12-14,"13:30:00","13:33:00","BIZ","",""
2020-12-14,"13:33:00","13:50:00","BIZ","",""
2020-12-14,"13:50:00","14:54:00","HD","prep for mtg",""
2020-12-14,"14:54:00","16:02:00","HD","phone call",""
2020-12-14,"16:02:00","16:11:00","NVO","",""
2020-12-15,"07:14:00","07:18:00","BIZ","",""
2020-12-15,"07:18:00","08:24:00","PFE","balance sheets",""
2020-12-15,"08:24:00","09:49:00","BIZ","planning session",""
2020-12-15,"09:49:00","11:09:00","MSFT","crosscheck w bank statements",""
2020-12-15,"11:09:00","11:17:00","WMT","emails","asap"
2020-12-16,"06:42:00","07:45:00","CVX","prep for mtg",""
2020-12-16,"07:45:00","07:48:00","CVX","",""
2020-12-16,"07:48:00","08:44:00","NVO","prep for mtg",""
2020-12-16,"08:44:00","09:48:00","GOOG","prep for mtg",""
2020-12-18,"06:49:00","07:11:00","NVDA","",""
2020-12-19,"07:15:00","08:24:00","TSLA","prep for mtg",""
2020-12-19,"08:24:00","08:35:00","MSFT","emails","done"
2020-12-19,"08:35:00","10:07:00","MSFT","price quotes",""
2020-12-19,"10:07:00","10:27:00","XOM","",""
2020-12-19,"10:27:00","12:08:00","MA","balance sheets",""
2020-12-19,"12:08:00","12:40:00","PG","prep for mtg",""
2020-12-19,"12:40:00","13:28:00","AMZN","phone call","redo"
2020-12-19,"13:28:00","13:50:00","CVX","",""
2020-12-20,"06:00:00","07:17:00","NVO","crosscheck w bank statements","done"
2020-12-20,"07:17:00","08:59:00","GOOG","price quotes",""
2020-12-20,"08:59:00","10:34:00","MSFT","phone call",""
2020-12-20,"10:34:00","10:47:00","META","emails","asap"
2020-12-20,"10:47:00","10:55:00","AMZN","emails",""
2020-12-20,"10:55:00","11:15:00","PFE","",""
2020-12-20,"11:15:00","11:20:00","META","emails",""
2020-12-20,"11:20:00","11:42:00","GOOG","",""
2020-12-22,"08:35:00","08:53:00","NVO","",""
2020-12-23,"07:07:00","07:25:00","GOOG","",""
2020-12-23,"07:25:00","08:06:00","TSLA","setup books",""
2020-12-24,"08:10:00","09:15:00","TSLA","phone call",""
2020-12-24,"09:15:00","10:41:00","AMZN","balance sheets","done"
2020-12-24,"10:41:00","10:56:00","META","emails","done"
2020-12-24,"10:56:00","11:08:00","PFE","emails","done"
2020-12-24,"11:08:00","12:16:00","TSM","phone call","done"
2020-12-24,"12:16:00","12:45:00","META","setup books",""
2020-12-24,"12:45:00","13:16:00","TSLA","setup books",""
2020-12-24,"13:16:00","13:47:00","WMT","setup books",""
2020-12-24,"13:47:00","14:15:00","MSFT","setup books","redo"
2020-12-24,"14:15:00","14:37:00","PG","",""
2020-12-24,"14:37:00","14:45:00","TSM","emails",""
2020-12-24,"14:45:00","14:51:00","BIZ","emails",""
2020-12-24,"14:51:00","15:25:00","META","prep for mtg","done"
2020-12-24,"15:25:00","16:23:00","BIZ","phone call","done"
2020-12-24,"16:23:00","16:51:00","WMT","setup books",""
2020-12-24,"16:51:00","17:14:00","AMZN","prep for mtg","done"
2020-12-24,"17:14:00","18:35:00","BIZ","check last month's payments",""
2020-12-24,"18:35:00","20:14:00","WMT","crosscheck w bank statements","done"
2020-12-24,"20:14:00","20:53:00","BIZ","prep for mtg","done"
2020-12-26,"07:17:00","07:27:00","NVDA","emails",""
2020-12-26,"07:27:00","07:34:00","HD","emails","redo"
2020-12-26,"07:34:00","07:41:00","CVX","emails",""
2020-12-26,"07:41:00","07:55:00","NVO","",""
2020-12-26,"07:55:00","08:16:00","MSFT","",""
2020-12-26,"08:16:00","08:42:00","UNH","setup books",""
2020-12-26,"08:42:00","10:32:00","NVDA","balance sheets",""
2020-12-26,"10:32:00","11:13:00","PG","setup books","done"
2020-12-26,"11:13:00","14:19:00","AAPL","discuss issues","asap"
2020-12-27,"07:12:00","07:30:00","JNJ","",""
2020-12-27,"07:30:00","07:45:00","AMZN","emails","asap"
2020-12-29,"08:30:00","08:36:00","PFE","emails","fixed"
2020-12-29,"08:36:00","09:04:00","TSM","setup books","done"
2020-12-29,"09:04:00","09:18:00","JNJ","",""
2020-12-29,"09:18:00","09:30:00","GOOG","emails",""
2020-12-29,"09:30:00","09:35:00","TSM","emails","done"
2020-12-29,"09:35:00","09:47:00","XOM","emails",""
2020-12-29,"09:47:00","10:02:00","XOM","emails","redo"
2020-12-29,"10:02:00","10:16:00","BIZ","",""
2020-12-29,"10:16:00","10:25:00","TSLA","",""
2020-12-29,"10:25:00","11:48:00","HD","check last month's payments","done"
2020-12-30,"08:03:00","09:03:00","AMZN","setup books",""
2020-12-30,"09:03:00","12:16:00","BIZ","planning session",""
2020-12-30,"12:16:00","12:29:00","UNH","emails","fixed"
2020-12-30,"12:29:00","15:02:00","TSM","balance sheets","done"
2020-12-30,"15:02:00","15:17:00","MSFT","emails",""
2020-12-30,"15:17:00","15:55:00","TSM","prep for mtg",""
2020-12-30,"15:55:00","16:16:00","NVDA","",""
2020-12-30,"16:16:00","16:29:00","BRK/A","emails","done"
2020-12-30,"16:29:00","16:45:00","TSLA","",""
2020-12-30,"16:45:00","16:58:00","GOOG","emails",""
2020-12-30,"16:58:00","17:41:00","UNH","setup books",""
2021-01-01,"08:15:00","08:45:00","PG","",""
2021-01-01,"08:45:00","09:07:00","TSLA","",""
2021-01-01,"09:07:00","09:38:00","MA","setup books","done"
2021-01-01,"09:38:00","11:34:00","AMZN","crosscheck w bank statements","redo"
2021-01-01,"11:34:00","12:34:00","META","setup books","fixed"
2021-01-01,"12:34:00","13:00:00","UNH","setup books","redo"
2021-01-01,"13:00:00","13:24:00","MSFT","setup books","done"
2021-01-01,"13:24:00","13:34:00","BIZ","emails","redo"
2021-01-01,"13:34:00","14:12:00","PG","prep for mtg","redo"
2021-01-01,"14:12:00","15:25:00","MSFT","phone call",""
2021-01-01,"15:25:00","15:43:00","GOOG","",""
2021-01-01,"15:43:00","16:16:00","TSLA","prep for mtg","done"
2021-01-02,"07:53:00","08:05:00","GOOG","emails",""
2021-01-02,"08:05:00","08:14:00","NVO","",""
2021-01-03,"07:57:00","08:19:00","BIZ","",""
2021-01-03,"08:19:00","08:28:00","GOOG","",""
2021-01-03,"08:28:00","10:04:00","TSLA","check last month's payments",""
2021-01-03,"10:04:00","10:24:00","PFE","",""
2021-01-03,"10:24:00","10:52:00","BIZ","setup books","fixed"
2021-01-03,"10:52:00","11:17:00","UNH","setup books","redo"
2021-01-03,"11:17:00","11:38:00","JNJ","",""
2021-01-04,"07:15:00","07:35:00","UNH","",""
2021-01-04,"07:35:00","08:15:00","NVDA","setup books","redo"
2021-01-04,"08:15:00","08:20:00","GOOG","emails",""
2021-01-04,"08:20:00","08:28:00","WMT","emails",""
2021-01-04,"08:28:00","08:38:00","BIZ","emails","done"
2021-01-04,"08:38:00","09:21:00","TSLA","setup books","fixed"
2021-01-05,"08:25:00","08:37:00","JNJ","emails",""
2021-01-05,"08:37:00","09:37:00","BIZ","setup books",""
2021-01-05,"09:37:00","10:05:00","BIZ","setup books","asap"
2021-01-05,"10:05:00","10:15:00","HD","emails","done"
2021-01-05,"10:15:00","10:25:00","XOM","emails",""
2021-01-05,"10:25:00","10:47:00","TSLA","",""
2021-01-05,"10:47:00","10:58:00","NVDA","emails",""
2021-01-05,"10:58:00","11:40:00","PFE","prep for mtg","done"
2021-01-05,"11:40:00","11:51:00","UNH","emails",""
2021-01-05,"11:51:00","12:03:00","PG","emails","done"
2021-01-05,"12:03:00","12:10:00","GOOG","emails","done"
2021-01-06,"06:09:00","06:34:00","BIZ","setup books","done"
2021-01-06,"06:34:00","06:47:00","BIZ","emails","asap"
2021-01-06,"06:47:00","07:31:00","PG","prep for mtg",""
2021-01-06,"07:31:00","08:17:00","AAPL","prep for mtg","done"
2021-01-06,"08:17:00","09:29:00","CVX","check last month's payments","redo"
2021-01-06,"09:29:00","10:12:00","AMZN","setup books",""
2021-01-06,"10:12:00","10:54:00","TSLA","prep for mtg",""
2021-01-06,"10:54:00","11:05:00","META","emails",""
2021-01-06,"11:05:00","11:08:00","GOOG","",""
2021-01-06,"11:08:00","11:17:00","TSLA","",""
2021-01-06,"11:17:00","12:16:00","PG","phone call","redo"
2021-01-06,"12:16:00","14:43:00","PG","planning session",""
2021-01-06,"14:43:00","14:56:00","NVDA","emails",""
2021-01-06,"14:56:00","15:02:00","BIZ","emails","asap"
2021-01-06,"15:02:00","15:12:00","BIZ","emails",""
2021-01-06,"15:12:00","15:27:00","BRK/B","emails",""
2021-01-06,"15:27:00","15:41:00","TSM","",""
2021-01-06,"15:41:00","18:08:00","WMT","planning session","done"
2021-01-06,"18:08:00","18:19:00","TSLA","emails","redo"
2021-01-06,"18:19:00","18:31:00","WMT","emails","redo"
2021-01-06,"18:31:00","18:57:00","AAPL","setup books","redo"
2021-01-08,"07:00:00","07:06:00","MSFT","emails",""
2021-01-08,"07:06:00","07:20:00","BIZ","",""
2021-01-09,"07:29:00","08:08:00","TSM","prep for mtg","done"
2021-01-09,"08:08:00","08:29:00","CVX","",""
2021-01-09,"08:29:00","08:39:00","TSLA","emails","redo"
2021-01-12,"06:19:00","06:33:00","TSLA","",""
2021-01-12,"06:33:00","07:00:00","AMZN","",""
2021-01-12,"07:00:00","07:03:00","PG","",""
2021-01-12,"07:03:00","07:31:00","PFE","setup books",""
2021-01-12,"07:31:00","08:50:00","AAPL","crosscheck w bank statements",""
2021-01-12,"08:50:00","09:42:00","MSFT","check last month's payments","redo"
2021-01-12,"09:42:00","10:01:00","PG","",""
2021-01-12,"10:01:00","10:16:00","WMT","emails",""
2021-01-13,"07:45:00","08:17:00","META","prep for mtg","asap"
2021-01-13,"08:17:00","09:06:00","PG","prep for mtg",""
2021-01-13,"09:06:00","09:25:00","XOM","",""
2021-01-13,"09:25:00","09:26:00","META","crosscheck w bank statements",""
2021-01-15,"06:58:00","07:03:00","CVX","emails",""
2021-01-15,"07:03:00","08:00:00","MSFT","phone call",""
2021-01-15,"08:00:00","08:46:00","TSLA","prep for mtg","redo"
2021-01-15,"08:46:00","09:03:00","BIZ","",""
2021-01-15,"09:03:00","09:30:00","BIZ","",""
2021-01-15,"09:30:00","09:42:00","PG","emails",""
2021-01-15,"09:42:00","10:02:00","BIZ","",""
2021-01-15,"10:02:00","12:28:00","TSM","discuss issues","fixed"
2021-01-15,"12:28:00","12:51:00","BIZ","prep for mtg",""
2021-01-15,"12:51:00","13:02:00","HD","emails",""
2021-01-15,"13:02:00","13:23:00","WMT","",""
2021-01-15,"13:23:00","14:32:00","MSFT","prep for mtg","fixed"
2021-01-15,"14:32:00","15:47:00","PG","prep for mtg","fixed"
2021-01-15,"15:47:00","16:45:00","HD","phone call",""
2021-01-17,"07:19:00","07:55:00","PG","setup books","done"
2021-01-17,"07:55:00","08:50:00","NVDA","prep for mtg",""
2021-01-17,"08:50:00","09:05:00","META","emails",""
2021-01-17,"09:05:00","09:14:00","BIZ","",""
2021-01-17,"09:14:00","09:36:00","BIZ","",""
2021-01-17,"09:36:00","09:40:00","BRK/B","",""
2021-01-17,"09:40:00","10:58:00","BIZ","balance sheets","done"
2021-01-17,"10:58:00","12:15:00","MSFT","crosscheck w bank statements","redo"
2021-01-17,"12:15:00","12:19:00","AMZN","",""
2021-01-17,"12:19:00","12:22:00","MSFT","",""
2021-01-17,"12:22:00","13:28:00","PG","balance sheets","fixed"
2021-01-17,"13:28:00","13:38:00","GOOG","emails","asap"
2021-01-19,"07:27:00","07:49:00","MSFT","",""
2021-01-19,"07:49:00","08:04:00","PFE","emails","asap"
2021-01-19,"08:04:00","08:28:00","BIZ","setup books",""
2021-01-19,"08:28:00","08:34:00","AAPL","emails","done"
2021-01-19,"08:34:00","09:23:00","AAPL","prep for mtg","redo"
2021-01-19,"09:23:00","09:48:00","BRK/B","setup books",""
2021-01-19,"09:48:00","09:58:00","XOM","emails","done"
2021-01-19,"09:58:00","10:03:00","WMT","emails",""
2021-01-19,"10:03:00","10:33:00","TSLA","",""
2021-01-21,"07:46:00","08:06:00","NVDA","",""
2021-01-22,"09:50:00","11:00:00","HD","phone call",""
2021-01-22,"11:00:00","12:20:00","JPM","balance sheets","fixed"
2021-01-22,"12:20:00","12:55:00","CVX","prep for mtg",""
2021-01-22,"12:55:00","15:22:00","NVO","planning session","done"
2021-01-22,"15:22:00","15:59:00","TSM","setup books","fixed"
2021-01-22,"15:59:00","16:28:00","TSLA","setup books",""
2021-01-22,"16:28:00","16:56:00","GOOG","setup books",""
2021-01-23,"07:11:00","07:36:00","GOOG","setup books","redo"
2021-01-23,"07:36:00","07:47:00","TSLA","emails","redo"
2021-01-23,"07:47:00","08:22:00","AAPL","prep for mtg","redo"
2021-01-23,"08:22:00","10:18:00","META","crosscheck w bank statements",""
2021-01-24,"08:49:00","08:55:00","CVX","emails","done"
2021-01-24,"08:55:00","09:17:00","NVO","",""
2021-01-26,"08:40:00","10:21:00","MSFT","balance sheets","asap"
2021-01-26,"10:21:00","10:43:00","TSM","",""
2021-01-26,"10:43:00","12:11:00","AMZN","balance sheets",""
2021-01-29,"06:57:00","08:06:00","GOOG","prep for mtg","redo"
2021-01-29,"08:06:00","09:05:00","BIZ","phone call",""
2021-01-29,"09:05:00","09:12:00","AMZN","emails","asap"
2021-01-29,"09:12:00","09:23:00","UNH","emails",""
2021-01-29,"09:23:00","09:49:00","WMT","setup books",""
2021-01-30,"20:55:00","21:06:00","TSM","",""
2021-01-30,"21:06:00","21:16:00","XOM","emails",""
2021-01-30,"21:16:00","21:19:00","JNJ","",""
2021-01-30,"21:19:00","21:25:00","GOOG","",""
2021-01-31,"07:12:00","07:27:00","MSFT","emails","done"
2021-02-01,"11:43:00","12:14:00","TSM","setup books",""
2021-02-01,"12:14:00","12:50:00","AAPL","setup books","fixed"
2021-02-01,"12:50:00","14:20:00","UNH","balance sheets",""
2021-02-01,"14:20:00","14:26:00","META","emails",""
2021-02-01,"14:26:00","14:36:00","PFE","emails","done"
2021-02-01,"14:36:00","15:10:00","TSLA","prep for mtg",""
2021-02-02,"08:29:00","09:32:00","PFE","prep for mtg","redo"
2021-02-02,"09:32:00","10:06:00","GOOG","prep for mtg",""
2021-02-02,"10:06:00","10:58:00","PG","check last month's payments","asap"
2021-02-02,"10:58:00","11:03:00","MSFT","emails",""
2021-02-05,"07:55:00","09:30:00","AAPL","phone call","done"
2021-02-05,"09:30:00","10:29:00","UNH","phone call",""
2021-02-05,"10:29:00","11:19:00","WMT","prep for mtg",""
2021-02-05,"11:19:00","12:27:00","BRK/B","phone call","redo"
2021-02-05,"12:27:00","12:53:00","AAPL","setup books",""
2021-02-05,"12:53:00","13:00:00","NVO","emails","done"
2021-02-05,"13:00:00","13:22:00","NVDA","",""
2021-02-05,"13:22:00","14:33:00","GOOG","check last month's payments","done"
2021-02-05,"14:33:00","15:03:00","XOM","",""
2021-02-05,"15:03:00","15:57:00","XOM","phone call",""
2021-02-05,"15:57:00","17:51:00","META","price quotes",""
2021-02-05,"17:51:00","18:11:00","WMT","",""
2021-02-05,"18:11:00","18:41:00","TSLA","",""
2021-02-05,"18:41:00","18:54:00","UNH","emails",""
